date,customer_id,customer_age,customer_gender,category,product,region,channel,quantity,unit_price,discount,total_price,profit_margin
2023-07-24,CUST88242,22,Other,Beauty,Perfume,South America,Marketplace,3,381.1,20.1,913.97,0.2
2023-07-24,CUST95830,65,Other,Electronics,AirPods,South America,Social Media,4,29.7,2.7,115.64,0.24
2023-07-24,CUST50788,20,Male,Clothing,Zara Dress,South America,Mobile App,4,583.41,19.2,1885.18,0.12
2023-07-24,CUST32980,74,Male,Home & Garden,Kitchen Appliances,Australia,Online,4,140.37,1.6,552.33,0.34
2023-07-24,CUST25205,48,Male,Automotive,Accessories,Africa,Retail,4,240.58,8.2,883.06,0.32
2023-07-24,CUST60089,19,Female,Electronics,iPhone 15,Africa,Mobile App,5,299.78,6.1,1407.48,0.34
2023-07-24,CUST86459,61,Other,Toys,Educational Toys,Australia,Social Media,2,979.63,18.6,1593.86,0.2
2023-07-24,CUST46246,26,Female,Books,AI Basics,Australia,Mobile App,1,170.53,26.6,125.19,0.25
2023-07-24,CUST90081,38,Male,Home & Garden,Furniture,North America,Online,4,523.53,20.2,1671.76,0.28
2023-07-24,CUST90483,20,Other,Clothing,Nike Shoes,Asia,Retail,2,941.84,26.8,1378.58,0.26
2023-07-24,CUST96259,54,Female,Toys,Educational Toys,Asia,Social Media,4,791.94,24.9,2378.13,0.4
2023-07-24,CUST21457,62,Male,Toys,Action Figures,Australia,Social Media,4,753.26,15.7,2539.89,0.2
2023-07-25,CUST18741,73,Male,Clothing,H&M Shirt,Australia,Social Media,2,194.33,16.1,325.94,0.12
2023-07-25,CUST54279,67,Male,Toys,Board Games,North America,Marketplace,3,872.72,29.5,1845.83,0.38
2023-07-25,CUST40176,63,Other,Books,Data Science Guide,North America,Online,4,716.22,25.7,2129.74,0.18
2023-07-25,CUST93448,74,Female,Beauty,Nail Polish,Asia,Mobile App,1,497.54,25.9,368.47,0.28
2023-07-25,CUST46762,45,Male,Toys,Educational Toys,South America,Retail,5,296.34,24.7,1115.49,0.28
2023-07-25,CUST34008,35,Male,Beauty,Nail Polish,Australia,Social Media,1,684.24,2.9,664.21,0.37
2023-07-25,CUST57522,66,Other,Clothing,Levi's Jeans,Africa,Mobile App,2,117.63,26.5,172.89,0.35
2023-07-25,CUST67686,34,Other,Sports,Yoga Mat,Africa,Mobile App,2,294.68,8.2,540.85,0.25
2023-07-25,CUST17813,46,Other,Automotive,Accessories,Asia,Retail,2,164.33,16.5,274.39,0.21
2023-07-25,CUST18786,50,Female,Beauty,Hair Products,South America,Retail,2,245.95,6.6,459.22,0.25
2023-07-25,CUST97633,39,Male,Toys,LEGO Set,Asia,Social Media,4,974.86,0.0,3899.4,0.14
2023-07-25,CUST86997,35,Male,Automotive,Maintenance Kits,South America,Retail,3,742.3,8.5,2038.7,0.37
2023-07-25,CUST38507,54,Male,Clothing,Uniqlo Sweater,Australia,Marketplace,3,155.67,20.0,373.43,0.33
2023-07-25,CUST96405,43,Male,Electronics,MacBook Pro,North America,Online,1,271.36,4.6,258.87,0.37
2023-07-25,CUST96959,41,Other,Home & Garden,Furniture,Asia,Mobile App,5,907.09,7.7,4185.95,0.37
2023-07-26,CUST93923,45,Male,Clothing,Uniqlo Sweater,Europe,Online,3,461.04,1.3,1365.04,0.37
2023-07-26,CUST53292,57,Female,Beauty,Perfume,South America,Online,5,873.25,29.9,3060.88,0.1
2023-07-26,CUST44375,69,Female,Toys,Puzzles,North America,Online,3,519.43,26.4,1147.46,0.17
2023-07-26,CUST35768,20,Other,Beauty,Skincare Set,Europe,Retail,3,353.56,1.9,1040.27,0.28
2023-07-26,CUST33057,37,Female,Home & Garden,Kitchen Appliances,Africa,Online,2,909.68,16.9,1511.31,0.28
2023-07-26,CUST37009,18,Other,Books,Python Programming,North America,Online,4,227.44,2.5,886.61,0.39
2023-07-26,CUST74035,38,Male,Toys,Action Figures,Asia,Mobile App,4,616.55,22.8,1904.06,0.31
2023-07-26,CUST48576,22,Female,Home & Garden,Garden Tools,Asia,Social Media,5,616.98,21.8,2412.38,0.12
2023-07-26,CUST63950,53,Other,Beauty,Nail Polish,Europe,Social Media,1,526.42,15.9,442.69,0.17
2023-07-26,CUST77254,45,Male,Beauty,Makeup Kit,South America,Retail,4,995.3,16.1,3341.24,0.28
2023-07-26,CUST42558,44,Male,Sports,Basketball,South America,Social Media,1,275.63,11.8,243.2,0.32
