date,symbol,open,high,low,close,volume,adj_close
2024-07-23,AAPL,92.25,95.33,84.96,90.68,6490509,89.62
2024-07-24,AAPL,95.39,105.66,92.18,96.28,1590024,97.98
2024-07-25,AAPL,92.11,97.39,84.38,95.04,1844053,95.2
2024-07-26,AAPL,95.09,105.76,92.61,98.1,7674138,97.42
2024-07-27,AAPL,97.48,101.78,96.07,98.17,1376794,100.04
2024-07-28,AAPL,94.93,99.44,85.71,98.09,5855987,98.3
2024-07-29,AAPL,94.91,95.03,93.55,94.9,8784701,94.24
2024-07-30,AAPL,92.68,94.82,86.13,91.84,8010967,91.64
2024-07-31,AAPL,96.21,101.8,87.03,91.4,7854152,90.1
2024-08-01,AAPL,96.65,104.06,86.92,95.11,9495717,94.11
2024-08-02,AAPL,95.62,100.03,86.98,93.28,1073414,93.47
2024-08-03,AAPL,92.13,101.4,90.32,93.26,3048656,94.87
2024-08-04,AAPL,82.28,88.73,77.86,80.82,2905046,80.75
2024-08-05,AAPL,80.57,82.44,78.81,79.11,9089732,78.67
2024-08-06,AAPL,85.79,93.59,77.39,84.07,6174571,82.69
2024-08-07,AAPL,83.01,84.46,77.53,83.14,7850248,81.83
2024-08-08,AAPL,81.79,82.87,76.45,78.98,2515201,79.12
2024-08-09,AAPL,79.29,83.56,72.32,82.63,4459996,82.73
2024-08-10,AAPL,79.03,83.87,78.66,82.41,2941951,84.0
2024-08-11,AAPL,78.77,81.65,72.1,75.36,8669831,76.71
2024-08-12,AAPL,78.45,78.51,71.87,76.87,9915547,78.33
2024-08-13,AAPL,81.74,89.06,81.19,85.53,3699523,86.57
2024-08-14,AAPL,87.18,91.16,84.03,85.76,6758172,85.04
2024-08-15,AAPL,90.16,93.94,85.51,93.89,7027086,94.18
2024-08-16,AAPL,90.94,91.73,86.17,87.58,1516623,86.2
2024-08-17,AAPL,93.75,96.65,91.24,95.31,2836848,96.28
2024-08-18,AAPL,94.48,97.56,86.73,93.5,4780741,94.36
2024-08-19,AAPL,96.82,99.97,88.69,98.43,2519905,97.03
2024-08-20,AAPL,93.28,101.6,80.5,89.12,8461421,88.86
2024-08-21,AAPL,98.3,99.81,88.85,96.65,6541971,96.33
